id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
45096003,100%,96%,f,5084,5865,t,t,South Boston Waterfront,42.34906,-71.04471,Entire rental unit,Entire home/apt,2,1,1,1,$313.00 ,32,1125,t,0,0,2,277,0,0,0,12,0,0,0,,,,,,,,t,343,343,0,0,
45096017,100%,96%,f,5084,5865,t,t,South Boston Waterfront,42.34906,-71.04471,Entire rental unit,Entire home/apt,2,1,1,1,$316.00 ,32,1125,t,0,0,7,282,0,0,0,17,0,0,0,,,,,,,,t,343,343,0,0,
45133862,N/A,100%,t,1,2,t,t,Brighton,42.34256,-71.15612,Entire rental unit,Entire home/apt,1,1,0,1,$60.00 ,91,1125,t,0,0,0,152,8,3,0,0,1,255,15300,5,4.75,4.88,5,5,4.75,4.75,f,1,1,0,0,0.15
45253366,0%,0%,f,1,10,t,t,North End,42.36524,-71.05602,Entire condo,Entire home/apt,3,1,1,2,$199.00 ,30,365,t,15,28,58,237,23,0,0,67,0,0,0,4.61,4.61,4.61,4.78,4.91,4.91,4.43,f,1,1,0,0,0.38
45256497,N/A,N/A,f,14,15,t,t,Fenway,42.34579,-71.08918,Entire rental unit,Entire home/apt,2,,2,,,91,1125,t,0,0,0,0,0,0,0,0,0,0,,,,,,,,,t,14,14,0,0,
45311024,N/A,N/A,f,14,15,t,t,Mission Hill,42.33163,-71.0995,Entire rental unit,Entire home/apt,6,1.5,3,3,$140.00 ,29,1125,t,0,0,0,145,0,0,0,0,0,0,0,,,,,,,,f,14,14,0,0,
45349044,82%,95%,f,2,6,t,t,Downtown,42.34887,-71.06596,Room in boutique hotel,Private room,2,1,1,1,$381.00 ,1,21,t,29,59,89,279,538,70,1,98,25,255,97155,4.42,4.55,4.58,4.78,4.71,4.78,4.4,f,2,0,2,0,8.78
45349148,82%,95%,f,2,6,t,t,Downtown,42.34935,-71.06535,Room in boutique hotel,Private room,4,1,1,2,$411.00 ,1,21,t,16,40,68,256,539,58,5,77,63,255,104805,4.57,4.63,4.61,4.87,4.77,4.84,4.54,f,2,0,2,0,8.8
45354353,90%,63%,f,9,9,t,t,Allston,42.35882,-71.12831,Private room in home,Private room,1,2,1,1,$60.00 ,91,365,t,22,52,82,357,2,0,0,92,0,0,0,5,5,4.5,5,5,5,5,f,9,0,9,0,0.04
45354387,90%,63%,f,9,9,t,t,Allston,42.35681,-71.12865,Private room in home,Private room,1,2,1,1,$56.00 ,91,365,t,0,0,6,186,4,1,0,16,0,182,10192,4.75,4.75,4.5,4.75,4.25,4.75,4.75,f,9,0,9,0,0.08
